Anio,Mes,ONI,SOI,MEI,Area,Fenomeno,Fecha
1985,1,-1.0,-3.5,-0.2,0.205,La Niña,1985-01-01
1985,8,-0.5,8.5,-0.5,0.106,La Niña,1985-08-01
1986,1,-0.5,8.0,-0.4,0.22,La Niña,1986-01-01
1986,2,-0.5,-10.7,-0.3,0.294,La Niña,1986-02-01
1986,3,-0.3,0.8,-0.4,0.201,Neutral,1986-03-01
1986,4,-0.2,1.2,-0.5,0.258,Neutral,1986-04-01
1986,5,-0.1,-6.6,-0.3,0.265,Neutral,1986-05-01
1986,7,0.2,2.2,0.4,0.286,Neutral,1986-07-01
1986,8,0.4,-7.6,1.0,0.2,Neutral,1986-08-01
1986,9,0.7,-5.2,1.3,0.1685,El Niño,1986-09-01
1986,10,0.9,6.1,0.6,0.11199999999999999,El Niño,1986-10-01
1986,11,1.1,-13.9,0.6,0.122,El Niño,1986-11-01
1986,12,1.2,-13.6,1.1,0.20800000000000002,El Niño,1986-12-01
1987,1,1.2,-6.3,1.0,0.202,El Niño,1987-01-01
1987,3,1.1,-16.6,1.6,0.294,El Niño,1987-03-01
1987,10,1.5,-5.6,1.2,0.101,El Niño,1987-10-01
1987,11,1.3,-1.4,0.9,0.143,El Niño,1987-11-01
1988,1,0.8,-1.1,0.6,0.1845,El Niño,1988-01-01
1988,2,0.5,-5.0,0.3,0.212,El Niño,1988-02-01
1988,3,0.1,2.4,0.2,0.215,Neutral,1988-03-01
1988,5,-0.9,10.0,-0.4,0.206,La Niña,1988-05-01
1988,6,-1.3,-3.9,-1.2,0.202,La Niña,1988-06-01
1988,7,-1.3,11.3,-1.8,0.13,La Niña,1988-07-01
1988,8,-1.1,14.9,-1.8,0.1855,La Niña,1988-08-01
1988,9,-1.2,20.1,-1.8,0.056499999999999995,La Niña,1988-09-01
1988,10,-1.5,14.6,-1.6,0.121,La Niña,1988-10-01
1988,11,-1.8,21.0,-1.7,0.164,La Niña,1988-11-01
1988,12,-1.8,10.8,-1.5,0.1915,La Niña,1988-12-01
1989,1,-1.7,13.2,-1.1,0.187,La Niña,1989-01-01
1989,3,-1.1,6.7,-1.2,0.248,La Niña,1989-03-01
1989,4,-0.8,21.0,-1.1,0.297,La Niña,1989-04-01
1989,5,-0.6,14.7,-1.0,0.206,La Niña,1989-05-01
1989,6,-0.4,7.4,-1.0,0.36350000000000005,Neutral,1989-06-01
1989,8,-0.3,-6.3,-0.7,0.164,Neutral,1989-08-01
1989,9,-0.2,5.7,-0.5,0.036,Neutral,1989-09-01
1989,10,-0.2,7.3,-0.5,0.0935,Neutral,1989-10-01
1989,11,-0.2,-2.0,-0.4,0.1255,Neutral,1989-11-01
1990,1,0.1,-1.1,0.1,0.161,Neutral,1990-01-01
1990,2,0.2,-17.3,0.5,0.201,Neutral,1990-02-01
1990,3,0.3,-8.5,0.6,0.22799999999999998,Neutral,1990-03-01
1990,4,0.3,-0.5,0.2,0.1545,Neutral,1990-04-01
1990,6,0.3,1.0,0.1,0.405,Neutral,1990-06-01
1990,7,0.3,5.5,0.1,0.587,Neutral,1990-07-01
1990,8,0.4,-5.0,0.0,0.124,Neutral,1990-08-01
1990,9,0.4,-7.6,0.2,0.133,Neutral,1990-09-01
1990,10,0.3,1.8,-0.1,0.09,Neutral,1990-10-01
1990,11,0.4,-5.3,0.1,0.105,Neutral,1990-11-01
1990,12,0.4,-2.4,0.3,0.15,Neutral,1990-12-01
1991,1,0.4,5.1,0.2,0.231,Neutral,1991-01-01
1991,2,0.3,0.6,0.1,0.253,Neutral,1991-02-01
1991,3,0.2,-10.6,0.2,0.26,Neutral,1991-03-01
1991,4,0.3,-12.9,0.2,0.308,Neutral,1991-04-01
1991,5,0.5,-19.3,0.4,0.517,El Niño,1991-05-01
1991,6,0.6,-5.5,1.0,0.45,El Niño,1991-06-01
1991,8,0.6,-7.6,0.4,0.0385,El Niño,1991-08-01
1991,9,0.6,-16.6,0.5,0.1105,El Niño,1991-09-01
1991,10,0.8,-12.9,1.0,0.0395,El Niño,1991-10-01
1991,11,1.2,-7.3,1.0,0.085,El Niño,1991-11-01
1991,12,1.5,-16.7,1.2,0.087,El Niño,1991-12-01
1992,1,1.7,-25.4,1.7,0.11149999999999999,El Niño,1992-01-01
1992,4,1.3,-18.7,2.0,0.17,El Niño,1992-04-01
1992,6,0.7,-12.8,1.5,0.164,El Niño,1992-06-01
1992,7,0.4,-6.9,0.6,0.148,Neutral,1992-07-01
1992,8,0.1,1.4,0.0,0.105,Neutral,1992-08-01
1992,9,-0.1,0.8,0.4,0.0845,Neutral,1992-09-01
1992,10,-0.2,-17.2,0.7,0.155,Neutral,1992-10-01
1992,11,-0.3,-7.3,0.6,0.1095,Neutral,1992-11-01
1992,12,-0.1,-5.5,0.7,0.146,Neutral,1992-12-01
1993,1,0.1,-8.2,0.8,0.151,Neutral,1993-01-01
1993,2,0.3,-7.9,0.9,0.187,Neutral,1993-02-01
1993,3,0.5,-8.5,0.8,0.20750000000000002,El Niño,1993-03-01
1993,4,0.7,-21.1,1.0,0.2635,El Niño,1993-04-01
1993,5,0.7,-8.2,1.5,0.271,El Niño,1993-05-01
1993,6,0.6,-16.0,1.5,0.215,El Niño,1993-06-01
1993,7,0.3,-10.8,0.9,0.13949999999999999,Neutral,1993-07-01
1993,8,0.3,-14.0,0.6,0.356,Neutral,1993-08-01
1993,10,0.1,-13.5,1.0,0.0345,Neutral,1993-10-01
