time,water_km2
1984-06-30,0.0045
1984-07-31,4.1553
1984-08-31,4.8834
1984-09-30,1.9746
1984-10-31,0.1944
1984-11-30,0.0549
1984-12-31,0.0189
1985-01-31,0.1935
1985-02-28,2.2185
1985-03-31,2.6649
1985-04-30,1.1214
1985-05-31,2.0394
1985-06-30,3.1968
1985-07-31,0.1368
1985-08-31,4.8834
1985-09-30,1.9746
1985-10-31,0.3447
1985-11-30,0.0549
1985-12-31,0.0189
1986-01-31,0.1935
1986-02-28,0.5373
1986-03-31,0.0198
1986-04-30,0.0387
1986-05-31,0.099
1986-06-30,3.1968
1986-07-31,1.1259
1986-08-31,0.0
1986-09-30,0.8919
1986-10-31,0.0072
1986-11-30,0.0072
1986-12-31,0.0072
1987-01-31,2.0754
1987-02-28,2.1996
1987-03-31,2.853
1987-04-30,1.1214
1987-05-31,2.0394
1987-06-30,3.1968
1987-07-31,4.1553
1987-08-31,4.8834
1987-09-30,1.9746
1987-10-31,0.1881
1987-11-30,0.0549
1987-12-31,0.0063
1988-01-31,0.0027
1988-02-29,0.0117
1988-03-31,0.0693
1988-04-30,1.1214
1988-05-31,0.9099
1988-06-30,1.3356
1988-07-31,3.4308
1988-08-31,3.6027
1988-09-30,2.8314
1988-10-31,0.0351
1988-11-30,0.0036
1988-12-31,0.0972
1989-01-31,0.009
1989-02-28,2.2185
1989-03-31,0.5409
1989-04-30,0.0783
1989-05-31,0.0648
1989-06-30,3.3705
1989-07-31,3.9906
1989-08-31,4.8834
1989-09-30,1.6326
1989-10-31,0.1683
1989-11-30,0.0396
1989-12-31,0.0189
1990-01-31,0.0324
1990-02-28,4.1229
1990-03-31,0.0612
1990-04-30,0.153
1990-05-31,0.0
1990-06-30,0.0
1990-07-31,5.9373
1990-08-31,6.2703
1990-09-30,0.4959
1990-10-31,0.0891
1990-11-30,0.0549
1990-12-31,0.0009
1991-01-31,8.739
1991-02-28,2.1591
1991-03-31,0.819
1991-04-30,0.0603
1991-05-31,0.2394
1991-06-30,1.6326
1991-07-31,3.2256
1991-08-31,1.5255
1991-09-30,1.0854
1991-10-31,0.0252
1991-11-30,0.0
1991-12-31,0.0
1992-01-31,0.1494
1992-02-29,2.2185
1992-03-31,0.0252
1992-04-30,0.0
1992-05-31,2.0394
1992-06-30,0.9531
1992-07-31,2.8566
1992-08-31,3.0267
1992-09-30,0.6012
1992-10-31,0.0126
1992-11-30,0.0189
1992-12-31,0.0
1993-01-31,7.677
1993-02-28,4.5
1993-03-31,0.7281
1993-04-30,0.3276
1993-05-31,0.2241
1993-06-30,1.6434
1993-07-31,3.5163
1993-08-31,2.835
1993-09-30,1.5984
1993-10-31,0.2412
1993-11-30,0.0828
1993-12-31,2.7576
1994-01-31,0.072
1994-02-28,0.027
1994-03-31,0.7173
1994-04-30,0.8415
1994-05-31,1.8792
1994-06-30,3.2823
1994-07-31,2.1141
1994-08-31,0.0
1994-09-30,1.7334
1994-10-31,0.4302
1994-11-30,0.189
1994-12-31,0.1125
1995-01-31,0.1935
1995-02-28,2.2185
1995-03-31,1.0989
1995-04-30,1.3032
1995-05-31,4.4352
1995-06-30,8.7426
1995-07-31,5.427
1995-08-31,4.8447
1995-09-30,2.5659
1995-10-31,0.0126
1995-11-30,0.0549
1995-12-31,0.0
1996-01-31,0.0009
1996-02-29,1.5435
1996-03-31,0.0018
1996-04-30,0.0
1996-05-31,0.2394
1996-06-30,1.6398
1996-07-31,3.2508
1996-08-31,3.4074
1996-09-30,0.5229
1996-10-31,0.6039
1996-11-30,0.4446
1996-12-31,0.0189
1997-01-31,0.171
1997-02-28,2.2185
1997-03-31,0.7173
1997-04-30,1.1214
1997-05-31,4.3362
1997-06-30,4.6458
1997-07-31,4.1103
1997-08-31,3.7593
1997-09-30,0.4428
1997-10-31,0.2844
1997-11-30,0.1485
1997-12-31,0.0189
1998-01-31,0.1935
1998-02-28,0.0558
1998-03-31,0.2196
1998-04-30,0.009
1998-05-31,2.0394
1998-06-30,3.1968
1998-07-31,4.7061
1998-08-31,5.3901
1998-09-30,2.2104
1998-10-31,3.2859
1998-11-30,0.2439
1998-12-31,1.1637
1999-01-31,0.3564
1999-02-28,13.6566
1999-03-31,0.7173
1999-04-30,1.1214
1999-05-31,11.0673
1999-06-30,11.8989
1999-07-31,12.7701
1999-08-31,12.7332
1999-09-30,11.376
1999-10-31,2.8278
1999-11-30,0.0081
1999-12-31,0.0594
2000-01-31,11.6568
2000-02-29,2.7288
2000-03-31,1.4292
2000-04-30,1.3122
2000-05-31,3.4632
2000-06-30,8.0784
2000-07-31,8.1225
2000-08-31,9.9792
2000-09-30,6.1857
2000-10-31,1.2375
2000-11-30,0.1071
2000-12-31,0.0189
2001-01-31,0.5229
2001-02-28,3.1212
2001-03-31,3.8385
2001-04-30,4.2858
2001-05-31,4.8636
2001-06-30,12.0159
2001-07-31,12.3606
2001-08-31,17.9406
2001-09-30,4.311
2001-10-31,1.9287
2001-11-30,0.342
2001-12-31,0.1035
2002-01-31,1.4688
2002-02-28,0.2097
2002-03-31,4.1103
2002-04-30,1.1214
2002-05-31,2.0394
2002-06-30,3.1968
2002-07-31,15.21
2002-08-31,4.8834
2002-09-30,1.9746
2002-10-31,0.3447
2002-11-30,0.0549
2002-12-31,0.0189
2003-01-31,0.1935
2003-02-28,2.2185
2003-03-31,0.7173
2003-04-30,1.1214
2003-05-31,2.0394
2003-06-30,3.1968
2003-07-31,12.6387
2003-08-31,12.9636
2003-09-30,12.3318
2003-10-31,8.5653
2003-11-30,0.0549
2003-12-31,0.1917
2004-01-31,0.9063
2004-02-29,2.3013
2004-03-31,1.8315
2004-04-30,1.476
2004-05-31,1.4733
2004-06-30,7.4718
2004-07-31,9.3726
2004-08-31,13.8969
2004-09-30,13.0905
2004-10-31,9.1467
2004-11-30,0.8955
2004-12-31,0.0828
2005-01-31,1.1322
2005-02-28,4.77
2005-03-31,3.2931
2005-04-30,2.7918
2005-05-31,6.9975
2005-06-30,6.1056
2005-07-31,10.8684
2005-08-31,11.5371
2005-09-30,5.3136
2005-10-31,2.4129
2005-11-30,0.2907
2005-12-31,0.0189
2006-01-31,1.3167
2006-02-28,5.2281
2006-03-31,5.7204
2006-04-30,2.1564
2006-05-31,4.5837
2006-06-30,11.6946
2006-07-31,11.9124
2006-08-31,10.3572
2006-09-30,5.7213
2006-10-31,1.3131
2006-11-30,0.2142
2006-12-31,0.2601
2007-01-31,1.9899
2007-02-28,4.3074
2007-03-31,0.207
2007-04-30,1.332
2007-05-31,2.2986
2007-06-30,0.0
2007-07-31,5.8131
2007-08-31,1.8297
2007-09-30,2.9259
2007-10-31,0.3447
2007-11-30,0.0549
2007-12-31,0.0189
2008-01-31,13.5819
2008-02-29,12.4803
2008-03-31,0.9792
2008-04-30,1.3014
2008-05-31,2.0394
2008-06-30,3.1968
2008-07-31,4.1553
2008-08-31,1.9611
2008-09-30,1.1538
2008-10-31,0.3447
2008-11-30,0.2394
2008-12-31,0.0387
2009-01-31,0.036
2009-02-28,0.1107
2009-03-31,0.2295
2009-04-30,0.3393
2009-05-31,0.1584
2009-06-30,3.1968
2009-07-31,5.9283
2009-08-31,7.4637
2009-09-30,1.1259
2009-10-31,0.27
2009-11-30,0.0585
2009-12-31,0.0405
2010-01-31,0.1935
2010-02-28,0.1296
2010-03-31,0.2718
2010-04-30,0.4347
2010-05-31,6.3711
2010-06-30,4.9005
2010-07-31,4.428
2010-08-31,4.1463
2010-09-30,3.4767
2010-10-31,0.3303
2010-11-30,0.0954
2010-12-31,0.135
2011-01-31,0.1791
2011-02-28,10.6821
2011-03-31,10.1286
2011-04-30,7.1307
2011-05-31,6.7257
2011-06-30,3.1968
2011-07-31,4.1553
2011-08-31,4.6458
2011-09-30,2.5506
2011-10-31,0.1377
2011-11-30,0.027
2011-12-31,0.0189
2012-01-31,0.1935
2012-02-29,2.2185
2012-03-31,0.7173
2012-04-30,1.1214
2012-05-31,2.0394
2012-06-30,3.1968
2012-07-31,4.1553
2012-08-31,4.8834
2012-09-30,1.9746
2012-10-31,0.3447
2012-11-30,0.0549
2012-12-31,0.0189
2013-01-31,0.1935
2013-02-28,2.2185
2013-03-31,0.7173
2013-04-30,0.6444
2013-05-31,1.5525
2013-06-30,2.2068
2013-07-31,1.3266
2013-08-31,2.844
2013-09-30,0.6201
2013-10-31,0.603
2013-11-30,0.1395
2013-12-31,0.0009
2014-01-31,0.0873
2014-02-28,0.8784
2014-03-31,0.0513
2014-04-30,0.7218
2014-05-31,2.205
2014-06-30,2.0052
2014-07-31,3.753
2014-08-31,3.7737
2014-09-30,2.3715
2014-10-31,0.0513
2014-11-30,0.0432
2014-12-31,0.0171
2015-01-31,0.0
2015-02-28,0.9207
2015-03-31,0.0909
2015-04-30,0.0
2015-05-31,0.2565
2015-06-30,1.4985
2015-07-31,0.63
2015-08-31,0.4536
2015-09-30,0.5436
2015-10-31,0.0135
2015-11-30,0.1188
2015-12-31,0.0549
2016-01-31,0.0207
2016-02-29,0.0
2016-03-31,0.0189
2016-04-30,0.0846
2016-05-31,0.1683
2016-06-30,0.9441
2016-07-31,2.1789
2016-08-31,2.187
2016-09-30,0.9432
2016-10-31,0.0963
2016-11-30,0.0072
2016-12-31,0.0063
2017-01-31,0.1404
2017-02-28,0.9009
2017-03-31,0.5814
2017-04-30,0.2394
2017-05-31,0.8901
2017-06-30,4.8096
2017-07-31,6.624
2017-08-31,4.4811
2017-09-30,1.7478
2017-10-31,0.3141
2017-11-30,0.1413
2017-12-31,0.1647
2018-01-31,0.1197
2018-02-28,4.8258
2018-03-31,0.1287
2018-04-30,0.4113
2018-05-31,1.7037
2018-06-30,2.619
2018-07-31,5.0994
2018-08-31,5.6412
2018-09-30,3.24
2018-10-31,0.7974
2018-11-30,0.045
2018-12-31,0.0288
2019-01-31,0.0882
2019-02-28,17.5383
2019-03-31,5.8293
2019-04-30,4.7142
2019-05-31,7.2603
2019-06-30,2.1879
2019-07-31,6.6924
2019-08-31,3.5676
2019-09-30,3.1806
2019-10-31,1.5219
2019-11-30,0.7362
2019-12-31,0.1935
2020-01-31,0.3663
2020-02-29,5.958
2020-03-31,5.8086
2020-04-30,5.0247
2020-05-31,6.7356
2020-06-30,9.3933
2020-07-31,6.1515
2020-08-31,8.0001
2020-09-30,6.5061
2020-10-31,2.7072
2020-11-30,0.0666
2020-12-31,0.1161
2021-01-31,0.189
2021-02-28,0.2313
2021-03-31,1.2006
2021-04-30,2.1438
2021-05-31,2.0457
2021-06-30,6.1092
2021-07-31,8.5923
2021-08-31,8.1108
2021-09-30,4.5855
2021-10-31,0.9378
2021-11-30,0.6714
2021-12-31,0.81
2022-01-31,11.3202
2022-02-28,9.0108
2022-03-31,5.9157
2022-04-30,6.5466
2022-05-31,10.0719
2022-06-30,11.2788
2022-07-31,8.7453
2022-08-31,7.0848
2022-09-30,3.6099
2022-10-31,2.1546
2022-11-30,0.6237
2022-12-31,4.7493
2023-01-31,1.7838
2023-02-28,3.609
2023-03-31,3.0654
2023-04-30,3.5811
2023-05-31,5.4045
2023-06-30,9.2016
2023-07-31,9.5643
2023-08-31,9.3825
2023-09-30,3.6063
2023-10-31,0.9036
2023-11-30,0.1179
2023-12-31,0.5337
2024-01-31,0.4275
2024-02-29,4.9959
2024-03-31,4.7961
2024-04-30,7.2045
2024-05-31,4.3497
2024-06-30,5.265
2024-07-31,5.4459
2024-08-31,3.9051
2024-09-30,3.7323
2024-10-31,2.286
2024-11-30,0.6813
2024-12-31,0.2592
